DISTRICT,HISP,NH_WHITE,NH_BLACK,NH_ASIAN,NH_OTHER
0,53262.688897380016,137639.7444406338,43649.54418230905,37210.17310176349,8650.699548962268
1,41966.93564662903,49422.47534729371,183476.56377211204,708.9039316981945,3491.6934338627693
2,119975.9396149243,110495.88470841694,10017.111990557005,20241.582182416973,6090.307949137
3,35517.66685242946,176696.48422624916,31502.210478807665,12134.678768894244,5392.444571007289
4,124189.30592355206,61081.94978496973,37684.967692867045,32572.889593091077,2664.7196110436907
5,5462.521545320303,18408.336586003872,232193.8273436508,5038.10236999895,5117.138113694539
6,105982.86736819477,107017.05709803345,40903.900381161235,21330.118972755525,4614.936717356091
7,91774.66387677586,55624.20781395461,122203.10200190844,4388.902434087628,2905.3090723801693
8,91642.8078590522,130782.91322595325,43084.93723605957,11563.256720796584,4070.7492557343235
9,114553.60241574197,28640.946768491536,132328.83492056717,1080.3919244973324,2340.0017268218626
